tank_id, title, substitute_tankid, substitute_title      
15617,Object 907,16897,Object 140
15905,M60,14113,M48A1 Patton
55841,T95E6,14113,M48A1 Patton
58641,VK7201,9489,E 100
63537,121B,4145,121
58881,IS-5,5377,IS-3
11809,T23E3,1569,T20
54273,SU-76I,2369,FCM 36 Pak 40

59425,T34 B,2849,T34
12577,M4 Improved,52257,M4A2E4 Sherman
13905,FV4005 Stage II,9297,FV215b (183)
53793,T95E2,5921,M26 Pershing
58369,Object 260 mod. 1945,7169,IS-7
59665,Grosstraktor - Krupp,2385,Vickers Medium Mk. III
61457,Pz.Kpfw. III Ausf. K,6417,Pz.Kpfw. III/IV
54033,Pz.Kpfw. V\/IV Alpha,51473,Pz.Kpfw. V\/IV
49409,IS-6 B,9217,IS-6
64273,Panzer 58 Mutz,49937,Schwarzpanzer 58
59681,M4A3E8 Thunderbolt VII,1313,M4A3E8
58913,T26E5,59169,T26E5 Patriot

5681,0.68,1100.00,2.15,0.63,51.27	
4737,1.12,2153.40,0.71,0.64,49.22
13905,1.12,2153.40,0.71,0.64,49.22
15441,0.88,1162.12,1.31,0.91,51.62
18705,0.90,1579.22,0.98,0.68,51.03	
19473,0.95,1918.96,1.08,0.64,49.34
49921,1.00,1106.68,1.02,0.92,54.23
52513,0.92,1283.61,1.07,0.81,52.12	
52225,1.21,290.59,1.71,1.32,57.68	
51729,1.82,353.81,1.56,1.78,65.19
19201,0.68,1400,2.15,0.63,51.27







